number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,0.3128728217437301,2026-01-11 14:24:28.767633,2026-01-11 14:24:49.981696,0 days 00:00:21.214063,0.6271896609104461,1.3678014741759759,0.08612339759748752,5,1.0968511301973112,572,0.12540328247737992,0.6291461090905676,COMPLETE
1,0.3184159879834426,2026-01-11 14:24:49.984684,2026-01-11 14:25:03.653715,0 days 00:00:13.669031,0.729941940998352,2.6645787137294996,0.07496289874458482,6,1.4619518572680978,335,5.275098153265557,0.8071733078187792,COMPLETE
2,0.31793357371924674,2026-01-11 14:25:03.655910,2026-01-11 14:25:24.985952,0 days 00:00:21.330042,0.7387923669509274,4.197910432089461,0.06024786021019054,5,0.9215925231640392,692,1.3672222405564403,0.6934856537646427,COMPLETE
3,0.35633504150661854,2026-01-11 14:25:24.988229,2026-01-11 14:25:35.990313,0 days 00:00:11.002084,0.7927878582590044,1.7055649528717687,0.016699499596888965,3,0.5429565687489312,283,0.9444682858596946,0.6420547222989573,COMPLETE
4,0.3169218259520341,2026-01-11 14:25:35.992494,2026-01-11 14:25:55.484403,0 days 00:00:19.491909,0.7455688640341441,2.127094105378416,0.053196192095373594,7,5.3963435603618555,512,0.7350766404724856,0.8072686820303399,COMPLETE
5,0.3622596720755236,2026-01-11 14:25:55.489650,2026-01-11 14:26:04.950168,0 days 00:00:09.460518,0.8469482271125673,2.5149527755712815,0.012973409678049675,5,0.8483485410724994,209,1.0372128000016503,0.9531104214121208,COMPLETE
6,0.32168569994158774,2026-01-11 14:26:04.957103,2026-01-11 14:26:36.831810,0 days 00:00:31.874707,0.9530048023239307,4.1623219974555905,0.021333225456910913,6,2.570342781103002,795,0.3325028642761377,0.6975578842899217,COMPLETE
7,0.31916089919717805,2026-01-11 14:26:36.834136,2026-01-11 14:26:58.470255,0 days 00:00:21.636119,0.6703067291533001,2.829848673966273,0.03887546978505146,7,0.6764507537504911,500,2.215824736008647,0.6641561230628011,COMPLETE
8,0.3518551496540105,2026-01-11 14:26:58.472778,2026-01-11 14:27:07.687966,0 days 00:00:09.215188,0.6271498550148875,4.659208984934566,0.02445647422417028,3,5.636073088221194,264,0.11426005984697105,0.8983230193752754,COMPLETE
9,0.3244303579385709,2026-01-11 14:27:07.690240,2026-01-11 14:27:32.577410,0 days 00:00:24.887170,0.7591209913450552,2.0243587049812897,0.031101879724016165,3,2.1604306918374987,795,9.965605715336826,0.6271124957303643,COMPLETE
10,0.31414211201695286,2026-01-11 14:27:32.588731,2026-01-11 14:27:51.884163,0 days 00:00:19.295432,0.8904605086156576,0.0681177836159157,0.19599111815228903,8,2.8449282325194076,393,0.3818412402080042,0.9848798602582579,COMPLETE
11,0.364309516539424,2026-01-11 14:27:51.892744,2026-01-11 14:28:00.679759,0 days 00:00:08.787015,0.8528538411232002,0.8242996244845437,0.012022591927466296,4,0.5105852330259326,202,2.222350750730643,0.999116713552381,COMPLETE
12,0.3636346587544526,2026-01-11 14:28:00.686938,2026-01-11 14:28:10.083958,0 days 00:00:09.397020,0.8665009960526615,0.6106435031066201,0.011371205491764413,4,0.5141947346930149,231,2.8976766034550874,0.9933073966255841,COMPLETE
13,0.3650288087505965,2026-01-11 14:28:10.086610,2026-01-11 14:28:19.065074,0 days 00:00:08.978464,0.8988449120235339,0.09731761863870503,0.011158374754385829,4,0.5393730428949445,207,3.064528529723978,0.9028683501145927,COMPLETE
14,0.3559569770297677,2026-01-11 14:28:19.067940,2026-01-11 14:28:33.225891,0 days 00:00:14.157951,0.9932725986638578,1.0315675175409436,0.011815384932755288,4,1.4815776770939666,390,4.244676474192135,0.874688200094741,COMPLETE
15,0.3514724240261887,2026-01-11 14:28:33.229903,2026-01-11 14:28:46.027879,0 days 00:00:12.797976,0.9188920692066462,0.0040805944830131224,0.01773937049933903,4,9.25072547777991,358,2.0525948103009073,0.9227704749908268,COMPLETE
16,0.3551967714090828,2026-01-11 14:28:46.030686,2026-01-11 14:29:02.173939,0 days 00:00:16.143253,0.8276132364869861,0.7023111599671774,0.010013518355749481,4,0.7125061574342958,460,6.346336775460544,0.8654256354683445,COMPLETE
17,0.3187469087026026,2026-01-11 14:29:02.176926,2026-01-11 14:29:12.205717,0 days 00:00:10.028791,0.9467175462383298,3.4316854982317437,0.12993669538651928,4,1.3186536649597131,297,3.410135295145348,0.9383204828505485,COMPLETE
18,0.3517852070590917,2026-01-11 14:29:12.207592,2026-01-11 14:29:20.344576,0 days 00:00:08.136984,0.8084969726879683,0.5528065960400392,0.03087593334593197,3,1.9657018446102223,201,1.7076821305938221,0.7375275253993367,COMPLETE
19,0.3390318480296176,2026-01-11 14:29:20.346556,2026-01-11 14:29:43.471894,0 days 00:00:23.125338,0.8884790398423523,1.3054833850143648,0.015451455673952726,5,3.7523720644816736,623,0.5275751252681259,0.8517164175627494,COMPLETE
20,0.33242179355872165,2026-01-11 14:29:43.477352,2026-01-11 14:30:01.471175,0 days 00:00:17.993823,0.982048656643066,0.4465137588866052,0.023665092664929874,6,0.6704677827934203,443,9.052569398699791,0.9651144785553886,COMPLETE
21,0.3638547043931585,2026-01-11 14:30:01.475688,2026-01-11 14:30:11.053194,0 days 00:00:09.577506,0.8671629955783966,0.8056420312240429,0.010296344973325025,4,0.5198402598810704,240,2.9262457242758493,0.9995476661911398,COMPLETE
22,0.3582219702859679,2026-01-11 14:30:11.056367,2026-01-11 14:30:21.193640,0 days 00:00:10.137273,0.9162572891303673,1.1186798820065307,0.014191243803259364,4,0.5282603042110665,266,2.958690199283472,0.9996968830458967,COMPLETE
23,0.3606401611546807,2026-01-11 14:30:21.196699,2026-01-11 14:30:31.833854,0 days 00:00:10.637155,0.8598343702172184,0.2799828020371553,0.010288381446262667,3,0.9119680149172701,320,1.4368030458936092,0.9251018589674935,COMPLETE
